中文标准名,标准匹配名,英文常见名,分类,每100g热量kcal,每100g蛋白g,每100g碳水g,每100g脂肪g,默认份量,默认份量克重,默认存放,是否规格敏感,数据来源,备注
燕麦片(干),燕麦片,rolled oats dry,主食,389,16.9,66.3,6.9,1份,40,常温,否,USDA FDC,即食含糖燕麦片需另建条目
土豆(生),土豆,potato (raw),主食,77,2.0,17.5,0.1,1个(中),150,常温,否,USDA FDC,煮熟约87kcal
红薯(生),红薯,sweet potato (raw),主食,86,1.6,20.1,0.1,1个(中),130,常温,否,USDA FDC,
甜玉米(煮粒),甜玉米,sweet corn cooked,主食,96,3.4,21.0,1.5,1份,100,冷藏,否,USDA FDC,
菠菜(生),菠菜,spinach (raw),蔬菜,23,2.9,3.6,0.4,1把,100,冷藏,否,USDA FDC,
生菜(生),生菜,lettuce (raw),蔬菜,15,1.4,2.9,0.2,1份,50,冷藏,否,USDA FDC,罗马生菜约17kcal
羽衣甘蓝(生),羽衣甘蓝,kale (raw),蔬菜,35,2.9,4.4,1.5,1份,50,冷藏,否,USDA FDC,
香菇(鲜生),香菇,shiitake mushroom (raw),蔬菜,34,2.2,6.8,0.5,1份,50,冷藏,否,USDA FDC,干香菇需另建条目
蘑菇(白蘑菇生),蘑菇,white mushroom (raw),蔬菜,22,3.1,3.3,0.3,1份,50,冷藏,否,USDA FDC,
番茄(生),番茄,tomato (raw),蔬菜,18,0.9,3.9,0.2,1个(中),120,常温,否,USDA FDC,
小番茄(生),小番茄,cherry tomato (raw),蔬菜,18,0.9,3.9,0.2,1份,100,常温,否,USDA FDC,与番茄接近
黄瓜(带皮生),黄瓜,cucumber (raw),蔬菜,15,0.7,3.6,0.1,1根,150,冷藏,否,USDA FDC,
西兰花(生),西兰花,broccoli (raw),蔬菜,34,2.8,6.6,0.4,1份,100,冷藏,否,USDA FDC,
胡萝卜(生),胡萝卜,carrot (raw),蔬菜,41,0.9,9.6,0.2,1根,60,冷藏,否,USDA FDC,
洋葱(生),洋葱,onion (raw),蔬菜,40,1.1,9.3,0.1,1/4个,40,常温,否,USDA FDC,多作调味亦可主料
彩椒(甜椒生),彩椒,bell pepper (raw),蔬菜,31,1.0,6.0,0.3,1个,120,冷藏,否,USDA FDC,红黄椒略高于青椒
西葫芦(生),西葫芦,zucchini (raw),蔬菜,17,1.2,3.1,0.3,1份,100,冷藏,否,USDA FDC,
茄子(生),茄子,eggplant (raw),蔬菜,25,1.0,5.9,0.2,1份,100,冷藏,否,USDA FDC,
卷心菜(生),卷心菜,cabbage (raw),蔬菜,25,1.3,5.8,0.1,1份,100,冷藏,否,USDA FDC,
蓝莓(生),蓝莓,blueberries (raw),水果,57,0.7,14.5,0.3,1把,50,冷藏,否,USDA FDC,
香蕉(生),香蕉,banana (raw),水果,89,1.1,22.8,0.3,1根(中),120,常温,否,USDA FDC,
桃子(生),桃子,peach (raw),水果,39,0.9,9.5,0.3,1个,150,常温,否,USDA FDC,
牛油果(生),牛油果,avocado (raw),水果,160,2.0,8.5,14.7,半个,100,常温,否,USDA FDC,
苹果(带皮生),苹果,apple (raw),水果,52,0.3,13.8,0.2,1个(中),180,常温,否,USDA FDC,
全脂牛奶,全脂牛奶,whole milk 3.25%,乳制品,61,3.2,4.8,3.3,1杯,240,冷藏,否,USDA FDC,
低脂牛奶(2%),低脂牛奶,reduced fat milk 2%,乳制品,50,3.4,4.9,2.0,1杯,240,冷藏,是,USDA FDC,1%约42kcal需另建条目
酸奶(原味全脂),酸奶,plain whole milk yogurt,乳制品,61,3.5,4.7,3.3,1杯,150,冷藏,是,USDA FDC,加糖酸奶差异大
无糖酸奶(原味低脂),无糖酸奶,plain low fat yogurt,乳制品,63,5.3,7.0,1.6,1杯,150,冷藏,是,USDA FDC,
奶酪(切达),奶酪,cheddar cheese,乳制品,403,24.9,3.1,33.1,1片,20,冷藏,是,USDA FDC,其他品种需另建条目
布拉塔(牛奶),布拉塔,burrata cheese,乳制品,330,16.0,3.0,29.0,1份,60,冷藏,是,品牌标签(近似需核实),营养为近似值;马苏里拉加奶油;非羊制品建议核实
杏仁,杏仁,almonds,零食,579,21.2,21.6,49.9,1把,15,常温,否,USDA FDC,生/烤/盐焗略有差异
橄榄油,橄榄油,olive oil,调味品,884,0,0,100,1汤匙,14,常温,否,USDA FDC,高热量记录项
花生酱,花生酱,peanut butter,调味品,588,25.1,20.0,50.0,1汤匙,16,常温,是,USDA FDC,含糖/无糖差异
芝麻酱,芝麻酱,tahini,调味品,595,17.0,21.2,53.8,1汤匙,15,常温,是,USDA FDC,高热量记录项
白砂糖,白砂糖,white sugar,调味品,387,0,99.8,0,1茶匙,4,常温,否,USDA FDC,
